Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,43508450.52550455 
 01/01  02:00:00,40983734.19176473 
 01/01  03:00:00,41733011.04680818 
 01/01  04:00:00,40186582.40905359 
 01/01  05:00:00,40036479.88392382 
 01/01  06:00:00,32284498.727047704 
 01/01  07:00:00,31043332.715848897 
 01/01  08:00:00,34512938.83543397 
 01/01  09:00:00,30183121.389438454 
 01/01  10:00:00,26703571.04973624 
 01/01  11:00:00,23945290.322452374 
 01/01  12:00:00,25861322.994092356 
 01/01  13:00:00,25108948.304254152 
 01/01  14:00:00,26133117.76677397 
 01/01  15:00:00,29326173.60181495 
 01/01  16:00:00,29967682.25833392 
 01/01  17:00:00,28274251.253371976 
 01/01  18:00:00,30926231.268625133 
 01/01  19:00:00,32660228.675453566 
 01/01  20:00:00,38021070.60901207 
 01/01  21:00:00,40284760.24049778 
 01/01  22:00:00,37905272.49775662 
 01/01  23:00:00,46208471.06998282 
 01/01  24:00:00,50441486.08335968 
