Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,7053678.782712592 
 01/01  02:00:00,6294286.925296189 
 01/01  03:00:00,6610726.1954395585 
 01/01  04:00:00,6373986.025341553 
 01/01  05:00:00,0.0 
 01/01  06:00:00,8779991.94069907 
 01/01  07:00:00,6960519.181007352 
 01/01  08:00:00,6273494.248906921 
 01/01  09:00:00,2811214.8115486726 
 01/01  10:00:00,3144702.3391373837 
 01/01  11:00:00,1429581.4669243293 
 01/01  12:00:00,2320372.975174916 
 01/01  13:00:00,2805180.666298504 
 01/01  14:00:00,3892471.1388109424 
 01/01  15:00:00,4870588.813481158 
 01/01  16:00:00,4930009.606525717 
 01/01  17:00:00,7411181.354266444 
 01/01  18:00:00,5240925.998958918 
 01/01  19:00:00,5706037.632542278 
 01/01  20:00:00,6926181.227814847 
 01/01  21:00:00,7329058.849980382 
 01/01  22:00:00,7263509.098967931 
 01/01  23:00:00,8094908.387863898 
 01/01  24:00:00,8716257.316246562 
