Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,32506587.275002807 
 01/01  02:00:00,30988352.843912713 
 01/01  03:00:00,33425487.135758374 
 01/01  04:00:00,31270756.03932161 
 01/01  05:00:00,30883375.771711756 
 01/01  06:00:00,29691851.747627977 
 01/01  07:00:00,29035869.025602274 
 01/01  08:00:00,28789523.907825463 
 01/01  09:00:00,26676860.032302864 
 01/01  10:00:00,24931191.89363908 
 01/01  11:00:00,23825094.076648097 
 01/01  12:00:00,26053097.125726867 
 01/01  13:00:00,24779133.475749563 
 01/01  14:00:00,24676017.557992052 
 01/01  15:00:00,27394843.55568506 
 01/01  16:00:00,25551825.168556757 
 01/01  17:00:00,25609158.08232081 
 01/01  18:00:00,27556845.5928295 
 01/01  19:00:00,28717028.203151055 
 01/01  20:00:00,33238360.38337598 
 01/01  21:00:00,34500276.70352514 
 01/01  22:00:00,34007367.38284838 
 01/01  23:00:00,37628762.443852246 
 01/01  24:00:00,40546309.99651796 
