Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL CORRIDOR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  04:00:00,-2.75,12.718140893753588,15.535914099440648,14.618587554390885,18.69879141874026,0.0,0.0,0.0,21.5,13260297.292689625 
 01/01  05:00:00,-2.0,12.67440894524698,15.437596809352435,14.489738083312702,19.10648826227851,0.0,0.0,0.0,21.5,13214620.210121673 
 01/01  06:00:00,-1.375,12.635955510773135,15.336614803173859,14.35279796308396,19.282564079522448,0.0,0.0,0.0,21.5,13178380.67126824 
 01/01  07:00:00,-1.0,12.613454529661723,15.225379187146016,14.21604435382775,19.728076914481385,0.0,0.0,0.0,21.5,13108163.008743364 
 01/01  08:00:00,-1.0,12.590451464084882,15.08426062817485,14.039945158797817,20.32900347344784,0.0,0.0,0.0,21.5,12944106.91464511 
 01/01  09:00:00,-0.375,12.56691626017902,15.007228949122961,13.961350557170508,20.457072951512984,0.0,0.0,0.0,21.5,12735600.971971938 
 01/01  10:00:00,1.25,12.572157326359973,15.048358768061535,14.057541645896453,21.174637826839046,0.0,0.0,0.0,21.5,12115234.340812942 
 01/01  11:00:00,2.0,12.618365450971122,15.03501955980967,14.088054229515311,21.1974763959007,0.0,0.0,0.0,21.5,11999648.05015698 
 01/01  12:00:00,1.375,12.766665317804707,14.884923916973623,13.923048688791473,20.84140205407256,0.0,0.0,0.0,21.5,12859130.366546046 
 01/01  13:00:00,2.25,12.82470353637965,14.882559572095317,13.946618176482769,20.886266325675255,0.0,0.0,0.0,21.5,12883750.406102268 
 01/01  14:00:00,2.375,12.804201697040003,14.824684954068678,13.910970152675464,21.09377134889657,0.0,0.0,0.0,21.5,12828902.713249233 
 01/01  15:00:00,1.375,12.76844513835674,14.642362513846846,13.688228173192211,20.926967748401108,0.0,0.0,0.0,21.5,12843226.597033903 
 01/01  16:00:00,1.0,12.684600371446692,14.509934029785823,13.533459689563294,20.80024367166638,0.0,0.0,0.0,21.5,12887110.303752534 
 01/01  17:00:00,0.375,12.601696894566214,14.351626809024014,13.348452556733818,20.801766104502725,0.0,0.0,0.0,21.5,12878573.777184002 
 01/01  18:00:00,-0.625,12.498365036877074,14.145555465909764,13.092050429572877,20.642209266856074,0.0,0.0,0.0,21.5,12903102.925229467 
 01/01  19:00:00,-1.625,12.36513293911769,13.92996154022249,12.82405593021254,20.42730847073272,0.0,0.0,0.0,21.5,12939836.407566307 
 01/01  20:00:00,-3.25,12.209482489457466,13.646792835691945,12.465132938563851,19.83648527679795,0.0,0.0,0.0,21.5,13025578.835692815 
 01/01  21:00:00,-4.625,11.993929120216187,13.36555604624323,12.09773838757463,18.752673513146856,0.0,0.0,0.0,21.5,13241662.601259464 
 01/01  22:00:00,-5.625,11.767014236026323,13.114113686099735,11.776850122163891,18.81024540517206,0.0,0.0,0.0,21.5,13254621.032750748 
 01/01  23:00:00,-6.625,11.547039901866777,12.85913129523991,11.450040255797767,18.183859267891137,0.0,0.0,0.0,21.5,13327894.499896264 
 01/01  24:00:00,-7.0,11.29717517790034,12.661540467225798,11.204806772705727,17.513109303114444,0.0,0.0,0.0,21.5,13469187.037314622 
