Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),CRAWL ZONE:Zone Mean Air Temperature [C](Hourly),GARAGE ZONE:Zone Mean Air Temperature [C](Hourly),LIVING ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Mean Air Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Mean Air Temperature [C](Hourly),CRAWL ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES AC ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),RES DS RES FUR GAS ASYS RET AIR ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),UNFINISHED ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,-4.5,18.76279071876858,7.074913395031765,21.50000300625869,23.0,21.13919435585269,-5.548985254648604,0.0,0.0,21.5,0.0,0.0,0.0,19340538.074578345 
 01/01  02:00:00,-3.0,18.599563904241897,7.2633624362283555,21.49999909336832,23.0,21.17176265103884,-5.146853102363953,0.0,0.0,21.5,0.0,0.0,0.0,16733542.828689078 
 01/01  03:00:00,-3.625,18.13945576625292,6.923418219838642,21.4999999992222,23.0,21.15349639267617,-4.998975421587256,0.0,0.0,21.5,0.0,0.0,0.0,16955397.25299721 
 01/01  04:00:00,-2.75,18.204659206221557,6.70406625416403,21.499999999999957,22.999999999999996,21.13537500204734,-4.7572233373029125,0.0,0.0,21.5,0.0,0.0,0.0,16964331.079684105 
 01/01  05:00:00,-2.0,18.102429665638297,6.599750416570853,21.5,23.0,21.131453546343344,-4.032512048071877,0.0,0.0,21.5,0.0,0.0,0.0,16698581.188597355 
 01/01  06:00:00,-1.375,18.11285016975478,6.605201563071491,21.5,23.0,21.124077114361583,-3.266668957987826,0.0,0.0,21.5,0.0,0.0,0.0,16533600.811320832 
 01/01  07:00:00,-1.0,17.99046942861967,6.612730148635903,21.5,23.0,21.119270819747754,-2.7890985956353056,0.0,0.0,21.5,0.0,0.0,0.0,16315684.564980157 
 01/01  08:00:00,-1.0,17.768804049062517,6.526733652136896,21.5,23.0,21.102704520225625,-2.268729590133492,0.0,0.0,21.5,0.0,0.0,0.0,15012708.388738368 
 01/01  09:00:00,-0.375,17.317276797102707,6.944549471005505,21.500004507531255,23.0,21.067018709997605,-0.21828746179906838,0.0,0.0,21.5,0.0,0.0,0.0,12742220.966575872 
 01/01  10:00:00,1.25,17.172846891736633,7.8300192407093165,21.50000933575446,23.0,21.035609175233255,2.752018521481004,0.0,0.0,21.5,0.0,0.0,0.0,11528655.760015815 
 01/01  11:00:00,2.0,16.8892091918463,8.515034800626776,21.500005157127937,23.0,21.01136223370547,5.115561815187803,0.0,0.0,21.5,0.0,0.0,0.0,9631376.970535204 
 01/01  12:00:00,1.375,16.629489651784482,9.223561847125687,21.500000008885404,23.0,20.994792332788588,7.400220458406533,0.0,0.0,21.5,0.0,0.0,0.0,10291075.911146328 
 01/01  13:00:00,2.25,17.07176186670407,9.308809798726296,21.500000000000004,23.0,20.992349815908295,7.527289104465832,0.0,0.0,21.5,0.0,0.0,0.0,11576672.574495645 
 01/01  14:00:00,2.375,17.084692677960167,9.082618920102933,21.499998414266557,23.0,21.005527661088564,7.00130364281634,0.0,0.0,21.5,0.0,0.0,0.0,11987672.215489356 
 01/01  15:00:00,1.375,17.25226354402043,8.29635883119617,21.499993787381023,23.0,21.01996493241474,5.277791786839606,0.0,0.0,21.5,0.0,0.0,0.0,13604919.357583942 
 01/01  16:00:00,1.0,17.311401949758263,7.71310234512209,21.499998415132314,23.0,21.026160422608854,3.746256897915659,0.0,0.0,21.5,0.0,0.0,0.0,13525518.412871026 
 01/01  17:00:00,0.375,16.826441384206085,7.310012943460453,21.500000678918095,23.0,21.012249239254917,2.6549990467215534,0.0,0.0,21.5,0.0,0.0,0.0,12226669.590220071 
 01/01  18:00:00,-0.625,17.070592094784438,6.624596750745377,21.49999772892767,23.0,21.01329506981801,1.245964993386339,0.0,0.0,21.5,0.0,0.0,0.0,15629525.811168142 
 01/01  19:00:00,-1.625,16.736773933347806,6.003369274772197,21.499997043165685,23.0,20.998248894023686,-0.013764900010865111,0.0,0.0,21.5,0.0,0.0,0.0,13045425.0738433 
 01/01  20:00:00,-3.25,16.287821112224478,5.14340131204494,21.49998523685309,23.0,20.96751755897705,-1.480906511521248,0.0,0.0,21.5,0.0,0.0,0.0,13990223.177785112 
 01/01  21:00:00,-4.625,16.310548117716113,4.349032105584191,21.49999323327533,23.0,20.94687718035599,-2.905077945601743,0.0,0.0,21.5,0.0,0.0,0.0,15259716.086461766 
 01/01  22:00:00,-5.625,16.17655781943283,3.895096360575236,21.499999999968146,23.0,20.931664561129104,-3.8887809234196844,0.0,0.0,21.5,0.0,0.0,0.0,15987775.304108195 
 01/01  23:00:00,-6.625,16.291091929765706,3.1876363753739776,21.49998355981613,23.0,20.931567172444147,-5.001874940237901,0.0,0.0,21.5,0.0,0.0,0.0,18562252.834112205 
 01/01  24:00:00,-7.0,16.89545923451696,2.4448136593156953,21.49999983885756,23.0,20.960653483901137,-5.91971032124655,0.0,0.0,21.5,0.0,0.0,0.0,21327544.987393904 
