Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.03.11 12:46
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ5B+gasfurnace+crawlspace+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,138,REFRIGERATOR3_BACKROW_TOPFLOOR,REFRIGERATOR,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,310.690,0.259,45.529,0.000,1.000,0.000,0.000,refrigerator,227.232,310.690
,139,CLOTHESWASHER3_BACKROW_TOPFLOOR,CLOTHESWASHER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,80.974,0.068,11.866,0.000,0.800,0.200,0.000,clotheswasher,0.000,72.311
,140,GAS_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,55.199,0.046,8.089,0.000,1.000,0.000,0.000,gas_dryer,0.000,55.199
,141,GAS_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,gas_range,0.000,0.000
,142,TELEVISION3_BACKROW_TOPFLOOR,INTERIORLIGHTING,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,0.000,0.000,0.000,0.000,1.000,0.000,0.000,television,0.000,0.000
,143,GAS_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1343.274,1.119,196.845,6.000E-002,0.690,0.250,0.000,gas_mels,694.502,1343.274
,144,IECC_ADJ3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,556.368,0.463,81.531,6.244E-002,0.412,0.251,0.275,IECC_adj,287.655,556.368


GasEquipment Internal Gains Nominal

,,Name,Schedule Name,Zone Name,Zone Floor Area {ft2},# Zone Occupants,Equipment Level {Btu/h},Equipment/Floor Area {Btu/h-ft2},Equipment per person {W/person},Fraction Latent,Fraction Radiant,Fraction Lost,Fraction Convected,End-Use SubCategory,Nominal Minimum Equipment Level {Btu/h},Nominal Maximum Equipment Level {Btu/h}
,1,GAS_DRYER1_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,2,GAS_RANGE1_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,3,GAS_MELS1_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,4,GAS_DRYER2_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,5,GAS_RANGE2_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,6,GAS_MELS2_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,7,GAS_DRYER3_FRONTROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,8,GAS_RANGE3_FRONTROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,9,GAS_MELS3_FRONTROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,10,GAS_DRYER1_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,11,GAS_RANGE1_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,12,GAS_MELS1_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,13,GAS_DRYER2_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,14,GAS_RANGE2_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,15,GAS_MELS2_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,16,GAS_DRYER3_BACKROW_BOTTOMFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,17,GAS_RANGE3_BACKROW_BOTTOMFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,18,GAS_MELS3_BACKROW_BOTTOMFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_BOTTOMFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,19,GAS_DRYER1_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,20,GAS_RANGE1_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,21,GAS_MELS1_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,22,GAS_DRYER2_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,23,GAS_RANGE2_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,24,GAS_MELS2_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,25,GAS_DRYER3_FRONTROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,26,GAS_RANGE3_FRONTROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,27,GAS_MELS3_FRONTROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,28,GAS_DRYER1_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,29,GAS_RANGE1_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,30,GAS_MELS1_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,31,GAS_DRYER2_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,32,GAS_RANGE2_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,33,GAS_MELS2_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,34,GAS_DRYER3_BACKROW_MIDDLEFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,35,GAS_RANGE3_BACKROW_MIDDLEFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,36,GAS_MELS3_BACKROW_MIDDLEFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,37,GAS_DRYER1_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,38,GAS_RANGE1_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,39,GAS_MELS1_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,40,GAS_DRYER2_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,41,GAS_RANGE2_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,42,GAS_MELS2_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,43,GAS_DRYER3_FRONTROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,44,GAS_RANGE3_FRONTROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,45,GAS_MELS3_FRONTROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_FRONTROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,46,GAS_DRYER1_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,47,GAS_RANGE1_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,48,GAS_MELS1_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT1_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,49,GAS_DRYER2_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,50,GAS_RANGE2_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,51,GAS_MELS2_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT2_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937
,52,GAS_DRYER3_BACKROW_TOPFLOOR,CLOTHESDRYER,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1125.237,0.937,164.894,5.000E-002,0.100,0.850,0.000,gas_dryer,0.000,1125.237
,53,GAS_RANGE3_BACKROW_TOPFLOOR,COOKINGRANGE,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,1538.075,1.281,225.392,6.000E-002,0.690,0.250,0.000,gas_range,36.215,1538.075
,54,GAS_MELS3_BACKROW_TOPFLOOR,MISCPLUGLOAD,LIVING_UNIT3_BACKROW_TOPFLOOR,1200.51,2.0,161.937,0.135,23.730,6.000E-002,0.690,0.250,0.000,gas_mels,83.724,161.937


Construction CTF

,,Construction Name,Index,#Layers,#CTFs,Time Step {Hours},ThermalConductance {Btu/h-ft2-F},OuterThermalAbsorptance,InnerThermalAbsorptance,OuterSolarAbsorptance,InnerSolarAbsorptance,Roughness
,1,EXTERIOR WALL,1,5,10,0.167,0.0498,0.900,0.900,0.700,0.700,MediumSmooth
,2,CEILING-FLOOR-LAYER,3,1,5,0.167,0.228,0.900,0.900,0.700,0.700,Rough
,3,EXTERIOR FLOOR,4,3,9,0.167,0.0342,0.900,0.900,0.700,0.700,Rough
,4,INTERIOR FLOOR,5,2,4,0.167,0.300,0.900,0.900,0.700,0.700,Rough
,5,INTERIOR CEILING,6,2,13,0.167,0.0190,0.900,0.900,0.700,0.700,Rough
,6,ATTIC FLOOR,7,2,13,0.167,0.0190,0.900,0.900,0.700,0.700,MediumSmooth
,7,INTERIORWALL,9,3,5,0.167,0.597,0.900,0.900,0.700,0.700,MediumSmooth
,8,EXTERIOR ROOF,11,2,4,0.167,0.943,0.900,0.900,0.750,0.700,MediumRough
,9,EXTERIOR DOOR,14,1,5,0.167,0.300,0.900,0.900,0.700,0.700,Smooth
,10,GABLE_END,16,5,6,0.167,0.428,0.900,0.900,0.700,0.700,MediumSmooth
,11,CRAWL WALL,24,1,5,0.167,2.28,0.900,0.900,0.700,0.700,Rough
,12,iz-EXTERIOR FLOOR,25,3,9,0.167,0.0342,0.900,0.900,0.700,0.700,MediumSmooth


Material CTF Summary

,,Material Name,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},ThermalResistance {m2-K/w}
,1,SYN_STUCCO,0.0098,0.086,24.971,0.210,0.3524E-01
,2,SHEATHING_CONSOL_LAYER,0.1020,0.035,1.255,0.350,0.8807
,3,OSB_7/16IN,0.0364,0.116,34.000,0.290,0.9555E-01
,4,WALL_CONSOL_LAYER,0.4584,0.057,7.541,0.248,2.444
,5,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,6,LUMBER_2X4,0.2920,0.115,32.003,0.183,0.7709
,7,FLOOR_CONSOL_LAYER,0.7707,0.052,3.438,0.219,4.558
,8,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,9,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,10,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,11,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,12,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,13,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,14,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,15,CEIL_CONSOL_LAYER,1.8587,0.062,2.618,0.185,9.179
,16,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,17,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,18,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,19,ASPHALT_SHINGLE,0.0207,0.082,70.000,0.300,0.7745E-01
,20,OSB_1/2IN,0.0417,0.116,34.000,0.290,0.1092
,21,DOOR_CONST,0.1388,0.072,32.003,0.183,0.5870
,22,CEMENT_STUCCO,0.0627,0.721,116.464,0.210,0.2642E-01
,23,BLDG_PAPER_FELT,0.0000,0.000,0.000,0.000,0.1057E-01
,24,OSB_5/8IN,0.0522,0.116,34.000,0.290,0.1365
,25,DRYWALL_1/2IN,0.0417,0.160,50.000,0.260,0.7933E-01
,26,CONCRETE_4IN,0.3330,1.312,140.014,0.111,0.7736E-01
,27,CARPET_N_PAD,0.0833,0.060,2.000,0.200,0.4224
,28,PLYWOOD_3/4IN,0.0627,0.115,34.003,0.161,0.1650
,29,FLOOR_CONSOL_LAYER,0.7707,0.052,3.438,0.219,4.558


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


CTF

,,Time,Outside,Cross,Inside,Flux (except final one)
,1,10,0.51360630E-08,-0.22035233E-13,0.91774209E-08,-0.50676220E-13
,2,9,-0.14060012E-04,0.39159197E-12,-0.22958088E-04,0.29728831E-08
,3,8,0.28980689E-02,0.65531654E-09,0.46215968E-02,-0.71708779E-05
,4,7,-0.65978682E-01,0.13350779E-06,-0.16306378,0.13238707E-02
,5,6,0.64596177,0.50193482E-05,2.1320981,-0.28125917E-01
,6,5,-3.4215999,0.48298777E-04,-13.652056,0.25148823
,7,4,10.645660,0.13839053E-03,47.881148,-1.1749737
,8,3,-19.924231,0.11919231E-03,-96.040791,3.0621859
,9,2,21.976583,0.26462555E-04,109.48934,-4.4404618
,10,1,-13.118296,0.91387708E-06,-65.855375,3.3273744
,11,0,3.2593552,0.33613880E-09,16.204438,
,12,5,-0.10726087E-01,0.44268190E-05,-0.10726087E-01,0.97389233E-03
,13,4,0.31857203,0.80150166E-03,0.31857203,-0.30727185E-01
,14,3,-2.8372473,0.12516450E-01,-2.8372473,0.30041224
,15,2,9.6667056,0.33176537E-01,9.6667056,-1.1584571
,16,1,-13.322214,0.15207483E-01,-13.322214,1.8397512
,17,0,6.2472388,0.62260140E-03,6.2472388,
,18,9,-0.61797381E-16,0.10275554E-15,-0.94176193E-10,0.70550100E-16
,19,8,0.55018702E-09,0.40996745E-13,0.10446581E-03,-0.35964092E-09
,20,7,-0.45325743E-03,0.10183730E-08,-0.10651944E-01,0.29628111E-03
,21,6,0.35000963E-01,0.28248981E-06,0.18262466,-0.23007581E-01
,22,5,-0.40204458,0.87190144E-05,-1.3453660,0.27251248
,23,4,1.9371679,0.56641591E-04,5.2219591,-1.3641479
,24,3,-4.7809977,0.95620201E-04,-11.428910,3.5178846
,25,2,6.3416706,0.40914426E-04,14.116582,-4.8962826
,26,1,-4.2976303,0.32019284E-05,-9.1505965,3.4916880
,27,0,1.1674918,0.10995666E-07,2.4144591,
,28,4,0.50405178E-13,0.16668152E-13,0.29402090E-13,-0.58636069E-16
,29,3,-0.78967347E-05,0.18486376E-05,-0.51544008E-05,0.20741056E-12
,30,2,0.37655193,0.34407043E-01,0.80677627E-01,-0.16328896E-04
,31,1,-8.0349315,0.81344511,-1.1624309,0.21506451
,32,0,8.9946927,0.48845120,2.4180636,
,33,13,-0.95016766E-17,-0.11776553E-17,-0.33255767E-09,0.99855310E-17
,34,12,0.61338794E-09,-0.58488406E-15,0.16056222E-03,-0.43490528E-09
,35,11,-0.75116140E-04,-0.12733754E-14,-0.83172474E-02,0.53259175E-04
,36,10,0.23489104E-02,0.19285539E-11,0.16199673,-0.16913697E-02
,37,9,-0.32325933E-01,0.31831827E-09,-1.7014869,0.23684835E-01
,38,8,0.25799047,0.11552332E-07,11.081256,-0.19274894
,39,7,-1.3247958,0.13607244E-06,-47.903612,1.0115855
,40,6,4.5908388,0.61202310E-06,142.28685,-3.5913725
,41,5,-10.947340,0.11168173E-05,-294.46769,8.7955522
,42,4,17.960252,0.81578039E-06,423.45640,-14.856181
,43,3,-19.872933,0.21758675E-06,-414.30161,16.962607
,44,2,14.135270,0.16726228E-07,262.68178,-12.475847
,45,1,-5.8235685,0.25078833E-09,-97.209670,5.3243306
,46,0,1.0543411,-0.72051379E-11,15.923944,
,47,13,-0.33255767E-09,-0.11776553E-17,-0.95016766E-17,0.99855310E-17
,48,12,0.16056222E-03,-0.58488406E-15,0.61338794E-09,-0.43490528E-09
,49,11,-0.83172474E-02,-0.12733754E-14,-0.75116140E-04,0.53259175E-04
,50,10,0.16199673,0.19285539E-11,0.23489104E-02,-0.16913697E-02
,51,9,-1.7014869,0.31831827E-09,-0.32325933E-01,0.23684835E-01
,52,8,11.081256,0.11552332E-07,0.25799047,-0.19274894
,53,7,-47.903612,0.13607244E-06,-1.3247958,1.0115855
,54,6,142.28685,0.61202310E-06,4.5908388,-3.5913725
,55,5,-294.46769,0.11168173E-05,-10.947340,8.7955522
,56,4,423.45640,0.81578039E-06,17.960252,-14.856181
,57,3,-414.30161,0.21758675E-06,-19.872933,16.962607
,58,2,262.68178,0.16726228E-07,14.135270,-12.475847
,59,1,-97.209670,0.25078833E-09,-5.8235685,5.3243306
,60,0,15.923944,-0.72051379E-11,1.0543411,
,61,5,-0.27590492E-07,0.65241430E-08,-0.27590492E-07,0.17331255E-13
,62,4,0.68608714E-03,0.11323974E-03,0.68608714E-03,-0.15705033E-07
,63,3,-0.21538511,0.37821720E-01,-0.21538511,0.25667047E-03
,64,2,5.0173519,0.62258424,5.0173519,-0.50236511E-01
,65,1,-19.904252,0.86481321,-19.904252,0.58144210
,66,0,16.688993,0.62060609E-01,16.688993,
,67,4,0.75441920E-10,0.23883683E-10,0.47514224E-10,-0.69373194E-20
,68,3,-0.33730907E-03,0.89366797E-04,-0.22574866E-03,0.77828620E-10
,69,2,0.58624422,0.18542418,0.49024360,-0.17301269E-03
,70,1,-11.299243,2.8799011,-8.6239668,0.15905732
,71,0,15.219762,1.4410112,12.640375,
,72,5,-0.32935335E-06,0.42931990E-07,-0.32935335E-06,0.47097488E-08
,73,4,0.68052310E-03,0.12823787E-03,0.68052310E-03,-0.14200104E-04
,74,3,-0.11535993,0.17375615E-01,-0.11535993,0.40770076E-02
,75,2,2.1922172,0.21284128,2.1922172,-0.13171357
,76,1,-7.8704965,0.30308566,-7.8704965,0.79499401
,77,0,6.3596665,0.33276539E-01,6.3596665,
,78,6,0.97988530E-11,0.43917118E-12,0.24496810E-11,-0.34892153E-15
,79,5,-0.75005310E-05,0.16499726E-06,-0.28271466E-05,0.19166609E-11
,80,4,0.32354224E-01,0.66949565E-03,0.10283773E-01,-0.11111676E-05
,81,3,-1.8201547,0.67148336E-01,-0.62076152,0.38788549E-02
,82,2,21.173821,0.53241617,7.5279938,-0.97325542E-01
,83,1,-64.420211,0.46601667,-21.697519,0.64629334
,84,0,46.121323,0.20873329E-01,15.867130,
,85,5,-0.15664505E-06,0.43005807E-07,-0.15664505E-06,0.11899247E-09
,86,4,0.10791049E-02,0.34140917E-03,0.10791049E-02,-0.15677434E-05
,87,3,-0.39592122,0.90314630E-01,-0.39592122,0.13116776E-02
,88,2,11.651569,1.6702487,11.651569,-0.78737360E-01
,89,1,-51.506798,3.1050242,-51.506798,0.66829999
,90,0,45.538973,0.42297268,45.538973,
,91,9,-0.94176193E-10,0.10275554E-15,-0.61797381E-16,0.70550100E-16
,92,8,0.10446581E-03,0.40996745E-13,0.55018702E-09,-0.35964092E-09
,93,7,-0.10651944E-01,0.10183730E-08,-0.45325743E-03,0.29628111E-03
,94,6,0.18262466,0.28248981E-06,0.35000963E-01,-0.23007581E-01
,95,5,-1.3453660,0.87190144E-05,-0.40204458,0.27251248
,96,4,5.2219591,0.56641591E-04,1.9371679,-1.3641479
,97,3,-11.428910,0.95620201E-04,-4.7809977,3.5178846
,98,2,14.116582,0.40914426E-04,6.3416706,-4.8962826
,99,1,-9.1505965,0.32019284E-05,-4.2976303,3.4916880
,100,0,2.4144591,0.10995666E-07,1.1674918,


WindowConstruction

,,Construction Name,Index,#Layers,Roughness,Conductance {Btu/h-ft2-F},SHGC,Solar Transmittance at Normal Incidence,Visible Transmittance at Normal Incidence
,1,EXTERIOR WINDOW,12,1,VerySmooth,0.300,0.335,0.248,0.883
,2,INTERIOR WINDOW,13,1,VerySmooth,0.300,0.335,0.248,0.883
,3,WINDOW_W_BLINDS,18,2,VerySmooth,0.300,0.309,4.646E-002,0.133
,4,TDD DOME,22,1,VerySmooth,1.071,0.929,0.920,0.920
,5,TDD DIFFUSER,23,1,VerySmooth,1.077,0.906,0.900,0.900


WindowMaterial:Glazing

