Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,79142178.47376376 
 01/01  02:00:00,70542083.7869254 
 01/01  03:00:00,70691860.18556389 
 01/01  04:00:00,68292277.54287612 
 01/01  05:00:00,66077601.036352664 
 01/01  06:00:00,63558261.15935595 
 01/01  07:00:00,59368338.52545211 
 01/01  08:00:00,60266852.161140464 
 01/01  09:00:00,51531605.23364583 
 01/01  10:00:00,46510123.87304798 
 01/01  11:00:00,41380362.76450014 
 01/01  12:00:00,42387178.87875244 
 01/01  13:00:00,42959898.57774452 
 01/01  14:00:00,45138142.86028813 
 01/01  15:00:00,49024751.473879434 
 01/01  16:00:00,46332148.68514422 
 01/01  17:00:00,50250911.12243684 
 01/01  18:00:00,55331263.40449146 
 01/01  19:00:00,59031550.2892565 
 01/01  20:00:00,68106698.96130681 
 01/01  21:00:00,74674434.87022758 
 01/01  22:00:00,76455971.81668481 
 01/01  23:00:00,81850851.31875 
 01/01  24:00:00,86730125.37597291 
