Title,Column 1 Category,End use category and fuel,Total Heating TBTU/yr,Elec TBTU/yr,Fossil TBTU/yr,In.Hvac Heating Type And Fuel,Building Id,End use category,End use fuel type,In.Bedrooms,In.Geometry Attic Type,In.Geometry Building Type Acs,In.Geometry Building Type Height,In.Geometry Building Type Recs,In.Geometry Floor Area,In.Geometry Floor Area Bin,In.Geometry Foundation Type,In.Geometry Stories,In.Geometry Wall Exterior Finish,In.Geometry Wall Type,In.Geometry Wall Type And Exterior Finish,In.Heating Fuel,In.Hvac Cooling Efficiency,In.Hvac Cooling Type,In.Hvac Has Ducts,In.Hvac Has Shared System,In.Hvac Has Zonal Electric Heating,In.Hvac Heating Efficiency,In.Hvac Heating Type,In.Infiltration,In.Insulation Ceiling,In.Insulation Floor,In.Insulation Foundation Wall,In.Insulation Roof,In.Insulation Slab,In.Insulation Wall,In.Lighting,In.Misc Extra Refrigerator,In.Misc Freezer,In.Misc Gas Fireplace,In.Misc Gas Grill,In.Misc Gas Lighting,In.Misc Hot Tub Spa,In.Misc Pool,In.Misc Pool Heater,In.Misc Pool Pump,In.Misc Well Pump,In.Occupants,In.Resstock County Id,In.State,In.Vacancy Status,In.Vintage,In.Vintage Acs,In.Water Heater Efficiency,In.Water Heater Fuel,In.Water Heater In Unit,In.Windows,Tenure type,Number of units,Out.Floor Area Conditioned Ft 2,Clothes Dryer (group),Cooking Range (group),In.Bathroom Spot Vent Hour,In.Cec Climate Zone,In.Ceiling Fan,In.Clothes Dryer,In.Clothes Washer,In.Clothes Washer Presence,In.Cooking Range,In.Cooling Setpoint,In.Cooling Setpoint Has Offset,In.Cooling Setpoint Offset Magnitude,In.Cooling Setpoint Offset Period,In.Corridor,In.Dehumidifier,In.Dishwasher,In.Door Area,In.Doors,In.Ducts,In.Eaves,In.Electric Vehicle,In.Geometry Building Horizontal Location Mf,In.Geometry Building Horizontal Location Sfa,In.Geometry Building Level Mf,In.Geometry Building Number Units Mf,In.Geometry Building Number Units Sfa,In.Geometry Building Type Recs (group),In.Geometry Garage,In.Geometry Stories Low Rise,In.Heating Setpoint,In.Heating Setpoint Has Offset,In.Heating Setpoint Offset Magnitude,In.Heating Setpoint Offset Period,In.Holiday Lighting,In.Hot Water Distribution,In.Hot Water Fixtures,In.Hvac Heating System Type,In.Hvac Secondary Heating Efficiency,In.Hvac Secondary Heating Type And Fuel,In.Hvac Shared Efficiencies,In.Hvac System Is Faulted,In.Hvac System Single Speed Ac Airflow,In.Hvac System Single Speed Ac Charge,In.Hvac System Single Speed Ashp Airflow,In.Hvac System Single Speed Ashp Charge,In.Interior Shading,In.Iso Rto Region,In.Lighting Interior Use,In.Lighting Other Use,In.Location City,In.Location Latitude,In.Location Longitude,In.Location Region,In.Mechanical Ventilation,In.Natural Ventilation,In.Neighbors,In.Orientation,In.Overhangs,In.Plug Load Diversity,In.Plug Loads,In.Pv,In.Radiant Barrier,In.Range Spot Vent Hour,In.Reeds Balancing Area,In.Refrigerator,In.Resstock Puma Id,In.Roof Material,In.Schedules,In.Solar Hot Water,In.Units Represented,In.Usage Level,In.Window Areas,Out.Door Area Ft 2,Out.Duct Unconditioned Surface Area Ft 2,Out.Floor Area Attic Ft 2,Out.Floor Area Lighting Ft 2,Out.Hours Cooling Setpoint Not Met,Out.Hours Heating Setpoint Not Met,Out.Hvac Cooling Capacity W,Out.Hvac Heating Capacity W,Out.Hvac Heating Supp Capacity W,Out.Roof Area Ft 2,Out.Size Cooling System Kbtu H,,Out.Size Water Heater Gal,Out.Size Water Heater Gal (group),Out.Wall Area Above Grade Conditioned Ft 2,Out.Wall Area Above Grade Exterior Ft 2,Out.Wall Area Below Grade Ft 2,Out.Window Area Ft 2,Scaled Units
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.000637968,2.76E-05,0.000610368,Natural Gas Fuel Furnace,58049,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,Heated Basement,1,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,10 ACH50,R-30,Uninsulated,"Wall R-15, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-19",100% LED,None,"EF 12, National Average",None,Gas Grill,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Electric Premium,Electricity,WH in unit,"Single, Clear, Non-metal, Exterior Clear Storm",renter_occupied,46.99803088,1220,Gas,Electric,Hour0,None,Standard Efficiency,"Gas, 100% Usage","Standard, 100% Usage",Yes,"Electric, 100% Usage",60F,Yes,2F,Night Setup -3h,Not Applicable,None,"318 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"0% Leakage, Uninsulated",2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,1,68F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Southwest,None,1,0.91,None,No,Hour10,33,"EF 19.9, 100% Usage","CO, 00812",Composition Shingles,Stochastic,None,1,Medium,F12 B12 L12 R12,20,0,610,1220,9138.17,4.67,2757.040369,4154.164708,0,682,9.41,14.17,50,40-50,824.72,909.44,824.72,98.97,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.00264861,0.000114397,0.002534213,Natural Gas Fuel Furnace,58049,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,1000-1499,0-1499,Heated Basement,1,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,10 ACH50,R-30,Uninsulated,"Wall R-15, Exterior","Unfinished, Uninsulated",None,"Wood Stud, R-19",100% LED,None,"EF 12, National Average",None,Gas Grill,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Electric Premium,Electricity,WH in unit,"Single, Clear, Non-metal, Exterior Clear Storm",owner_occupied,195.1329818,1220,Gas,Electric,Hour0,None,Standard Efficiency,"Gas, 100% Usage","Standard, 100% Usage",Yes,"Electric, 100% Usage",60F,Yes,2F,Night Setup -3h,Not Applicable,None,"318 Rated kWh, 100% Usage",20 ft^2,Fiberglass,"0% Leakage, Uninsulated",2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,1,68F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",100% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Southwest,None,1,0.91,None,No,Hour10,33,"EF 19.9, 100% Usage","CO, 00812",Composition Shingles,Stochastic,None,1,Medium,F12 B12 L12 R12,20,0,610,1220,9138.17,4.67,2757.040369,4154.164708,0,682,9.41,14.17,50,40-50,824.72,909.44,824.72,98.97,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.000594369,3.45E-05,0.000559869,Natural Gas Fuel Furnace,58183,heating,fossil,1,None,20 to 49 Unit,"Multifamily with 5+ units, 4-7 stories",Multi-Family with 5+ Units,1000-1499,0-1499,Unvented Crawlspace,5,"Vinyl, Light",Wood Frame,"Wood Frame, Vinyl, Light",Natural Gas,"AC, SEER 15",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,15 ACH50,None,Uninsulated,Uninsulated,"Finished, R-49",None,"Wood Stud, R-11",100% LED,None,None,None,None,None,None,None,None,None,Typical Efficiency,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Non-metal",owner_occupied,44.2420689,1138,Electric,Electric,Hour0,None,Standard Efficiency,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",65F,Yes,2F,Day Setup +1h,Double-Loaded Interior,None,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,Middle,None,Top,36,None,Multi-Family & Single-Family Attached,None,,72F,Yes,12F,Night -2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",12,Northwest,None,0.5,1.05,None,None,Hour8,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Low,F15 B15 L15 R15,20,0,0,1138,672.17,302.67,1487.544928,2661.774819,0,1263.72,5.08,9.08,30,20-30,201.15,201.15,0,30.17,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.002658687,0.000154467,0.00250422,Natural Gas Fuel Furnace,58183,heating,fossil,1,None,20 to 49 Unit,"Multifamily with 5+ units, 4-7 stories",Multi-Family with 5+ Units,1000-1499,0-1499,Unvented Crawlspace,5,"Vinyl, Light",Wood Frame,"Wood Frame, Vinyl, Light",Natural Gas,"AC, SEER 15",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 92.5% AFUE",Ducted Heating,15 ACH50,None,Uninsulated,Uninsulated,"Finished, R-49",None,"Wood Stud, R-11",100% LED,None,None,None,None,None,None,None,None,None,Typical Efficiency,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Non-metal",renter_occupied,197.8889438,1138,Electric,Electric,Hour0,None,Standard Efficiency,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",65F,Yes,2F,Day Setup +1h,Double-Loaded Interior,None,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,"10% Leakage, Uninsulated",2 ft,None,Middle,None,Top,36,None,Multi-Family & Single-Family Attached,None,,72F,Yes,12F,Night -2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",12,Northwest,None,0.5,1.05,None,None,Hour8,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,Low,F15 B15 L15 R15,20,0,0,1138,672.17,302.67,1487.544928,2661.774819,0,1263.72,5.08,9.08,30,20-30,201.15,201.15,0,30.17,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.02627695,0.00017239,0.02610456,Natural Gas Fuel Furnace,59256,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,Unheated Basement,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"Room AC, EER 10.7",Room AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 76% AFUE",Ducted Heating,8 ACH50,R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% Incandescent,EF 10.2,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Metal",owner_occupied,200.1439129,2176,Gas,Electric,Hour22,None,None,"Gas, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",78F,No,0F,None,Not Applicable,None,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,2,72F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Northeast,None,0.5,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00814",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,603.84,1088,2176,51.67,0,7603.436655,23110.43703,0,1216.42,25.94,78.86,40,40-50,2202.86,2353.97,1101.43,198.26,10
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.006298082,0.000821749,0.005476333,Natural Gas Fuel Furnace,59256,heating,fossil,3,Vented Attic,Single-Family Detached,Single-Family Detached,Single-Family Detached,2000-2499,1500-2499,Unheated Basement,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"Room AC, EER 10.7",Room AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 76% AFUE",Ducted Heating,8 ACH50,R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",100% Incandescent,EF 10.2,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,<1940,<1940,Natural Gas Standard,Natural Gas,WH in unit,"Single, Clear, Metal",renter_occupied,41.98709982,2176,Gas,Electric,Hour22,None,None,"Gas, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",78F,No,0F,None,Not Applicable,None,"318 Rated kWh, 80% Usage",20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,None,None,None,None,None,Single-Family Detached & Mobile Home,None,2,72F,No,0F,None,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",Left/Right at 15ft,Northeast,None,0.5,0.91,None,No,Hour18,33,"EF 17.6, 100% Usage","CO, 00814",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,603.84,1088,2176,51.67,0,7603.436655,23110.43703,0,1216.42,25.94,78.86,40,40-50,2202.86,2353.97,1101.43,198.26,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.005563308,0.000205908,0.0053574,Natural Gas Fuel Furnace,59839,heating,fossil,3,None,3 or 4 Unit,Multifamily with 2-4 Units,Multi-Family with 2 - 4 Units,1500-1999,1500-2499,Unheated Basement,3,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"Room AC, EER 10.7",Room AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,15 ACH50,None,Ceiling R-19,Uninsulated,"Finished, R-30",None,"Wood Stud, R-11",100% CFL,None,None,None,None,None,None,None,None,None,Typical Efficiency,4,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Double, Clear, Non-metal, Air",renter_occupied,187.4643202,1623,Electric,Electric,Hour18,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,Not Applicable,None,Middle,3,None,Multi-Family & Single-Family Attached,None,3,68F,Yes,12F,Night -3h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,East,None,0.5,0.96,None,None,Hour10,33,"EF 15.9, 100% Usage","CO, 00816",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,0,0,1623,289.67,132.33,2960.324507,7667.786846,0,0,10.1,26.16,40,40-50,1345.24,1345.24,0,121.07,9
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.001622278,6.00E-05,0.001562278,Natural Gas Fuel Furnace,59839,heating,fossil,3,None,3 or 4 Unit,Multifamily with 2-4 Units,Multi-Family with 2 - 4 Units,1500-1999,1500-2499,Unheated Basement,3,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"Room AC, EER 10.7",Room AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,15 ACH50,None,Ceiling R-19,Uninsulated,"Finished, R-30",None,"Wood Stud, R-11",100% CFL,None,None,None,None,None,None,None,None,None,Typical Efficiency,4,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Double, Clear, Non-metal, Air",owner_occupied,54.66669256,1623,Electric,Electric,Hour18,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Electric, 80% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,Not Applicable,None,Middle,3,None,Multi-Family & Single-Family Attached,None,3,68F,Yes,12F,Night -3h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,East,None,0.5,0.96,None,None,Hour10,33,"EF 15.9, 100% Usage","CO, 00816",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,0,0,1623,289.67,132.33,2960.324507,7667.786846,0,0,10.1,26.16,40,40-50,1345.24,1345.24,0,121.07,3
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.0000258,2.58E-05,0,Electricity Baseboard,60172,heating,fossil,2,None,20 to 49 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Vented Crawlspace,3,"Brick, Medium/Dark",Wood Frame,"Wood Frame, Brick, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,Yes,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,15 ACH50,None,Uninsulated,Uninsulated,"Finished, R-19",None,"Wood Stud, R-7",100% Incandescent,None,None,None,None,None,None,None,None,None,Typical Efficiency,2,"CO, Denver County",CO,Occupied,1970s,1960-79,Electric Standard,Electricity,WH in unit,"Double, Clear, Non-metal, Air",renter_occupied,179.686039,617,Electric,Electric,Hour5,None,None,"Electric, 120% Usage","EnergyStar, 120% Usage",Yes,"Electric, 120% Usage",65F,No,0F,None,Double-Loaded Interior,None,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,None,2 ft,None,Middle,None,Middle,36,None,Multi-Family & Single-Family Attached,None,3,70F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Baseboard & Wall Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,West,None,2,1.05,None,None,Hour11,33,"EF 17.6, 100% Usage","CO, 00814","Asphalt Shingles, Medium",Stochastic,None,1,High,F30 B30 L30 R30,20,0,0,617,8659,4.17,0,1594.167324,0,0,0,5.44,30,20-30,148.11,148.11,0,44.43,9
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.00000898,8.98E-06,0,Electricity Baseboard,60172,heating,fossil,2,None,20 to 49 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Vented Crawlspace,3,"Brick, Medium/Dark",Wood Frame,"Wood Frame, Brick, Medium/Dark",Electricity,None,No AC,No ducts,In-unit HVAC,Yes,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,15 ACH50,None,Uninsulated,Uninsulated,"Finished, R-19",None,"Wood Stud, R-7",100% Incandescent,None,None,None,None,None,None,None,None,None,Typical Efficiency,2,"CO, Denver County",CO,Occupied,1970s,1960-79,Electric Standard,Electricity,WH in unit,"Double, Clear, Non-metal, Air",owner_occupied,62.44497376,617,Electric,Electric,Hour5,None,None,"Electric, 120% Usage","EnergyStar, 120% Usage",Yes,"Electric, 120% Usage",65F,No,0F,None,Double-Loaded Interior,None,"318 Rated kWh, 120% Usage",20 ft^2,Fiberglass,None,2 ft,None,Middle,None,Middle,36,None,Multi-Family & Single-Family Attached,None,3,70F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Electric Baseboard & Wall Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,West,None,2,1.05,None,None,Hour11,33,"EF 17.6, 100% Usage","CO, 00814","Asphalt Shingles, Medium",Stochastic,None,1,High,F30 B30 L30 R30,20,0,0,617,8659,4.17,0,1594.167324,0,0,0,5.44,30,20-30,148.11,148.11,0,44.43,3
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.001346111,0.000106914,0.001239197,Natural Gas Fuel Furnace,60501,heating,fossil,1,Vented Attic,Single-Family Attached,Single-Family Attached,Single-Family Attached,500-749,0-1499,Vented Crawlspace,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,15 ACH50,R-30,Ceiling R-19,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-11",100% CFL,None,"EF 12, National Average",None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Double, Clear, Non-metal, Air",renter_occupied,81.89053591,617,Electric,Gas,Hour5,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Gas, 80% Usage",70F,No,0F,None,Not Applicable,None,None,20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,None,Middle,None,None,5,Multi-Family & Single-Family Attached,None,2,70F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,South,None,0.5,0.79,None,No,Hour15,33,"EF 17.6, 100% Usage","CO, 00816",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,171.22,308.5,617,745.83,49,1416.0119,4474.984933,0,344.91,4.83,15.27,30,20-30,418.93,418.93,104.73,37.7,4
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0.002479416,5.46E-05,0.002424816,Natural Gas Fuel Furnace,60501,heating,fossil,1,Vented Attic,Single-Family Attached,Single-Family Attached,Single-Family Attached,500-749,0-1499,Vented Crawlspace,2,"Wood, Medium/Dark",Wood Frame,"Wood Frame, Wood, Medium/Dark",Natural Gas,"AC, SEER 13",Central AC,Has ducts,In-unit HVAC,No,"Fuel Furnace, 80% AFUE",Ducted Heating,15 ACH50,R-30,Ceiling R-19,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-11",100% CFL,None,"EF 12, National Average",None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Occupied,1990s,1980-99,Natural Gas Standard,Natural Gas,WH in unit,"Double, Clear, Non-metal, Air",owner_occupied,160.2404768,617,Electric,Gas,Hour5,None,None,"Electric, 80% Usage","EnergyStar, 80% Usage",Yes,"Gas, 80% Usage",70F,No,0F,None,Not Applicable,None,None,20 ft^2,Fiberglass,"20% Leakage, Uninsulated",2 ft,None,None,Middle,None,None,5,Multi-Family & Single-Family Attached,None,2,70F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",50% Usage,Fuel Furnace,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",27,South,None,0.5,0.79,None,No,Hour15,33,"EF 17.6, 100% Usage","CO, 00816",Composition Shingles,Stochastic,None,1,Low,F9 B9 L9 R9,20,171.22,308.5,617,745.83,49,1416.0119,4474.984933,0,344.91,4.83,15.27,30,20-30,418.93,418.93,104.73,37.7,8
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0,0,0,Other Fuel Shared Heating,60710,heating,fossil,1,None,10 to 19 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Slab,3,"Brick, Medium/Dark",Brick,"Brick, Brick, Medium/Dark",Other Fuel,None,No AC,Has ducts,Heating Shared,No,Shared Heating,Ducted Heating,6 ACH50,None,None,None,"Finished, R-30",Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Shared DHW,"Single, Clear, Metal",owner_occupied,41.95928224,617,None,Electric,Hour0,None,None,None,None,None,"Electric, 120% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,None,Right,None,Bottom,12,None,Multi-Family & Single-Family Attached,None,3,55F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Shared Heating,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",7,East,None,2,1.05,None,None,Hour16,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,High,F15 B15 L15 R15,20,0,0,617,0,0,0,0,0,0,0,0,30,20-30,414.72,454.72,0,62.21,2
Average site energy per home (million Btu/yr),"CO, Denver County","heating, fossil",0,0,0,Other Fuel Shared Heating,60710,heating,fossil,1,None,10 to 19 Unit,"Multifamily with 5+ units, 1-3 stories",Multi-Family with 5+ Units,500-749,0-1499,Slab,3,"Brick, Medium/Dark",Brick,"Brick, Brick, Medium/Dark",Other Fuel,None,No AC,Has ducts,Heating Shared,No,Shared Heating,Ducted Heating,6 ACH50,None,None,None,"Finished, R-30",Uninsulated,"Brick, 12-in, 3-wythe, Uninsulated",100% Incandescent,None,None,None,None,None,None,None,None,None,None,1,"CO, Denver County",CO,Vacant,<1940,<1940,Natural Gas Standard,Natural Gas,Shared DHW,"Single, Clear, Metal",renter_occupied,200.1717305,617,None,Electric,Hour0,None,None,None,None,None,"Electric, 120% Usage",72F,No,0F,None,Double-Loaded Interior,None,None,20 ft^2,Fiberglass,"20% Leakage, R-4",2 ft,None,Right,None,Bottom,12,None,Multi-Family & Single-Family Attached,None,3,55F,Yes,6F,Day and Night +2h,No Exterior Use,"Uninsulated, TrunkBranch, Copper",200% Usage,Shared Heating,None,None,None,No,None,None,None,None,"Summer = 0.7, Winter = 0.85",None,100% Usage,100% Usage,Aurora Buckley Field Angb,39.72,-104.75,CR05,None,"Year-Round, 3 days/wk",7,East,None,2,1.05,None,None,Hour16,33,"EF 17.6, 100% Usage","CO, 00813","Asphalt Shingles, Medium",Stochastic,None,1,High,F15 B15 L15 R15,20,0,0,617,0,0,0,0,0,0,0,0,30,20-30,414.72,454.72,0,62.21,10
