Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,34167228.377077855 
 01/01  02:00:00,31326491.472327504 
 01/01  03:00:00,32181431.012703266 
 01/01  04:00:00,31265368.388591796 
 01/01  05:00:00,29958369.801131845 
 01/01  06:00:00,28148838.897860423 
 01/01  07:00:00,25687530.61853227 
 01/01  08:00:00,25890777.216594614 
 01/01  09:00:00,20778921.621459514 
 01/01  10:00:00,19958379.047308326 
 01/01  11:00:00,17500839.059120998 
 01/01  12:00:00,20092767.007075265 
 01/01  13:00:00,21018363.91132012 
 01/01  14:00:00,21677264.072802678 
 01/01  15:00:00,25428122.056489564 
 01/01  16:00:00,26157117.64428395 
 01/01  17:00:00,26639746.599446736 
 01/01  18:00:00,31908108.26117313 
 01/01  19:00:00,28739032.982946027 
 01/01  20:00:00,32415800.797711536 
 01/01  21:00:00,34545901.89862218 
 01/01  22:00:00,38873874.063597366 
 01/01  23:00:00,38084112.6947003 
 01/01  24:00:00,40462561.237530164 
