Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
12:50:00,5.247019E+03,2.712000E+03,1.805185E-01,2.216317E-01
13:00:00,5.247745E+03,2.761854E+03,1.805435E-01,2.257059E-01
13:10:00,5.247983E+03,2.821072E+03,1.805517E-01,2.305454E-01
13:20:00,5.248154E+03,2.887224E+03,1.805577E-01,2.359516E-01
13:30:00,5.248277E+03,2.958512E+03,1.805619E-01,2.417775E-01
13:40:00,5.248360E+03,3.033412E+03,1.805647E-01,2.478986E-01
13:50:00,5.248407E+03,3.110444E+03,1.805664E-01,2.541939E-01
14:00:00,5.248425E+03,3.188334E+03,1.805669E-01,2.605593E-01
14:10:00,5.248093E+03,3.265962E+03,1.805555E-01,2.669032E-01
14:20:00,5.247619E+03,3.341993E+03,1.805392E-01,2.731167E-01
14:30:00,5.247037E+03,3.415414E+03,1.805191E-01,2.791168E-01
14:40:00,5.246366E+03,3.485378E+03,1.804960E-01,2.848345E-01
14:50:00,5.245620E+03,3.551164E+03,1.804703E-01,2.902106E-01
15:00:00,5.244809E+03,3.612168E+03,1.804424E-01,2.951961E-01
15:10:00,5.241637E+03,3.670299E+03,1.803333E-01,2.999467E-01
15:20:00,5.237494E+03,3.722622E+03,1.801908E-01,3.042226E-01
15:30:00,5.232767E+03,3.768871E+03,1.800282E-01,3.080022E-01
15:40:00,5.227577E+03,3.808934E+03,1.798496E-01,3.112762E-01
15:50:00,5.222069E+03,3.842641E+03,1.796602E-01,3.140308E-01
16:00:00,5.216293E+03,3.869925E+03,1.794615E-01,3.162605E-01
16:10:00,5.202007E+03,3.899952E+03,1.789700E-01,3.187144E-01
16:20:00,5.185236E+03,3.927672E+03,1.783931E-01,3.209799E-01
16:30:00,5.166827E+03,3.952356E+03,1.777599E-01,3.229973E-01
16:40:00,5.147107E+03,3.973894E+03,1.770816E-01,3.247577E-01
16:50:00,5.126265E+03,3.992143E+03,1.763648E-01,3.262493E-01
17:00:00,5.104501E+03,4.006814E+03,1.756162E-01,3.274485E-01
17:10:00,5.073114E+03,4.025274E+03,1.745365E-01,3.289574E-01
17:20:00,5.040697E+03,4.039325E+03,1.734215E-01,3.301060E-01
17:30:00,5.007496E+03,4.047207E+03,1.722795E-01,3.307507E-01
17:40:00,4.973632E+03,4.043661E+03,1.711148E-01,3.304615E-01
17:50:00,4.939198E+03,4.029669E+03,1.699304E-01,3.293186E-01
18:00:00,4.904277E+03,4.004689E+03,1.687294E-01,3.272778E-01
18:10:00,4.868853E+03,3.966059E+03,1.675111E-01,3.241212E-01
18:20:00,4.834838E+03,3.911282E+03,1.663412E-01,3.196449E-01
18:30:00,4.801640E+03,3.839852E+03,1.651994E-01,3.138074E-01
18:40:00,4.769062E+03,3.754722E+03,1.640789E-01,3.068503E-01
18:50:00,4.736973E+03,3.647869E+03,1.629752E-01,2.981178E-01
19:00:00,4.705272E+03,3.518981E+03,1.618848E-01,2.875845E-01
19:10:00,4.692193E+03,3.354402E+03,1.614351E-01,2.741346E-01
19:20:00,4.681105E+03,3.175382E+03,1.610538E-01,2.595047E-01
19:30:00,4.671297E+03,2.997425E+03,1.607165E-01,2.449614E-01
19:40:00,4.662523E+03,2.828116E+03,1.604146E-01,2.311250E-01
19:50:00,4.654623E+03,2.677707E+03,1.601428E-01,2.188331E-01
20:00:00,4.647444E+03,2.549819E+03,1.598958E-01,2.083817E-01
20:10:00,4.642337E+03,2.444484E+03,1.597200E-01,1.997733E-01
20:20:00,4.638071E+03,2.360697E+03,1.595731E-01,1.929258E-01
20:30:00,4.634440E+03,2.287714E+03,1.594481E-01,1.869613E-01
20:40:00,4.631333E+03,2.221656E+03,1.593411E-01,1.815630E-01
20:50:00,4.628626E+03,2.160909E+03,1.592479E-01,1.765988E-01
21:00:00,4.626258E+03,2.104204E+03,1.591663E-01,1.719649E-01
21:10:00,4.625984E+03,2.047806E+03,1.591568E-01,1.673560E-01
21:20:00,4.627762E+03,1.991972E+03,1.592179E-01,1.627932E-01
21:30:00,4.630914E+03,1.936808E+03,1.593262E-01,1.582853E-01
21:40:00,4.635129E+03,1.882259E+03,1.594712E-01,1.538272E-01
21:50:00,4.640219E+03,1.828144E+03,1.596462E-01,1.494047E-01
22:00:00,4.646051E+03,1.774414E+03,1.598468E-01,1.450136E-01
22:10:00,4.661957E+03,1.712603E+03,1.603941E-01,1.399621E-01
22:20:00,4.680327E+03,1.649909E+03,1.610260E-01,1.348384E-01
22:30:00,4.700351E+03,1.586965E+03,1.617149E-01,1.296943E-01
22:40:00,4.721771E+03,1.523992E+03,1.624517E-01,1.245478E-01
22:50:00,4.744338E+03,1.461194E+03,1.632280E-01,1.194155E-01
23:00:00,4.767855E+03,1.398734E+03,1.640370E-01,1.143109E-01
23:10:00,4.789956E+03,1.338929E+03,1.647973E-01,1.094233E-01
23:20:00,4.812066E+03,1.279944E+03,1.655579E-01,1.046027E-01
23:30:00,4.834282E+03,1.221472E+03,1.663221E-01,9.982410E-02
23:40:00,4.856617E+03,1.163447E+03,1.670904E-01,9.508192E-02
23:50:00,4.879080E+03,1.105805E+03,1.678632E-01,9.037109E-02
24:00:00,4.901670E+03,1.048496E+03,1.686403E-01,8.568752E-02
Peak,5.248425E+03,4.047207E+03,1.805669E-01,3.307507E-01

Peak Vol Flow (m3/s),,,1.847350E-01,3.383855E-01
