Time,LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
12:50:00,5.411254E+03,2.805876E+03,1.910091E-01,2.314465E-01
13:00:00,5.411978E+03,2.854102E+03,1.910347E-01,2.354245E-01
13:10:00,5.412214E+03,2.912121E+03,1.910430E-01,2.402104E-01
13:20:00,5.412384E+03,2.977393E+03,1.910490E-01,2.455945E-01
13:30:00,5.412505E+03,3.048094E+03,1.910533E-01,2.514264E-01
13:40:00,5.412585E+03,3.122666E+03,1.910562E-01,2.575776E-01
13:50:00,5.412631E+03,3.199597E+03,1.910578E-01,2.639235E-01
14:00:00,5.412647E+03,3.277566E+03,1.910583E-01,2.703548E-01
14:10:00,5.412313E+03,3.355450E+03,1.910465E-01,2.767792E-01
14:20:00,5.411835E+03,3.431887E+03,1.910296E-01,2.830842E-01
14:30:00,5.411249E+03,3.505834E+03,1.910089E-01,2.891839E-01
14:40:00,5.410574E+03,3.576425E+03,1.909851E-01,2.950066E-01
14:50:00,5.409824E+03,3.642915E+03,1.909585E-01,3.004912E-01
15:00:00,5.409009E+03,3.704684E+03,1.909298E-01,3.055862E-01
15:10:00,5.405823E+03,3.763633E+03,1.908173E-01,3.104487E-01
15:20:00,5.401661E+03,3.816778E+03,1.906704E-01,3.148325E-01
15:30:00,5.396913E+03,3.863852E+03,1.905028E-01,3.187154E-01
15:40:00,5.391699E+03,3.904735E+03,1.903188E-01,3.220877E-01
15:50:00,5.386168E+03,3.939245E+03,1.901236E-01,3.249343E-01
16:00:00,5.380369E+03,3.967306E+03,1.899189E-01,3.272489E-01
16:10:00,5.366116E+03,3.998109E+03,1.894159E-01,3.297898E-01
16:20:00,5.349365E+03,4.026468E+03,1.888247E-01,3.321290E-01
16:30:00,5.330970E+03,4.051722E+03,1.881755E-01,3.342124E-01
16:40:00,5.311261E+03,4.073800E+03,1.874800E-01,3.360337E-01
16:50:00,5.290426E+03,4.092594E+03,1.867447E-01,3.375843E-01
17:00:00,5.268670E+03,4.107850E+03,1.859770E-01,3.388429E-01
17:10:00,5.237594E+03,4.127035E+03,1.848803E-01,3.404257E-01
17:20:00,5.205487E+03,4.142074E+03,1.837472E-01,3.416667E-01
17:30:00,5.172595E+03,4.151164E+03,1.825864E-01,3.424170E-01
