Date/Time,Heating:Electricity [J](Hourly) 
 01/05  20:00:00,3575388.6339259427 
 01/05  21:00:00,2946920.608908046 
 01/05  22:00:00,3839894.172934528 
 01/05  23:00:00,4104433.1452078484 
 01/05  24:00:00,5024736.899796307 
 01/06  01:00:00,2760878.6879961845 
 01/06  02:00:00,3103747.594313243 
 01/06  03:00:00,3255375.203033706 
 01/06  04:00:00,3434888.8638527216 
 01/06  05:00:00,4830627.24964242 
 01/06  06:00:00,4003295.3301754277 
 01/06  07:00:00,4180039.29160632 
 01/06  08:00:00,4571109.741974523 
 01/06  09:00:00,3207667.6212674472 
 01/06  10:00:00,1021586.1484174093 
 01/06  11:00:00,359999.99999999994 
 01/06  12:00:00,0.0 
 01/06  13:00:00,0.0 
 01/06  14:00:00,0.0 
 01/06  15:00:00,0.0 
 01/06  16:00:00,0.0 
 01/06  17:00:00,713439.6854542659 
 01/06  18:00:00,720000.0 
 01/06  19:00:00,3424144.317922409 
 01/06  20:00:00,4589968.170587179 
 01/06  21:00:00,3955664.1022050334 
 01/06  22:00:00,4918786.446295196 
 01/06  23:00:00,8852791.9463267 
 01/06  24:00:00,6928462.6213312335 
 01/07  01:00:00,5114348.471640455 
 01/07  02:00:00,6542530.582213933 
 01/07  03:00:00,8128102.985642066 
 01/07  04:00:00,6508627.000432458 
 01/07  05:00:00,6445642.578247715 
 01/07  06:00:00,5529247.046586942 
 01/07  07:00:00,5391756.713191406 
 01/07  08:00:00,4857982.936016544 
 01/07  09:00:00,2612525.575904622 
 01/07  10:00:00,1042933.1808048405 
 01/07  11:00:00,459554.8423685846 
 01/07  12:00:00,0.0 
 01/07  13:00:00,0.0 
 01/07  14:00:00,0.0 
 01/07  15:00:00,0.0 
 01/07  16:00:00,338142.12937696296 
 01/07  17:00:00,709689.7318931302 
 01/07  18:00:00,720000.0 
 01/07  19:00:00,2287992.040887654 
 01/07  20:00:00,3836365.264814151 
 01/07  21:00:00,3545967.325908904 
 01/07  22:00:00,4098504.1033244506 
 01/07  23:00:00,5641834.970085616 
