Date/Time,Heating:Electricity [J](Hourly) 
 01/01  01:00:00,50546482.7888566 
 01/01  02:00:00,46342325.149034955 
 01/01  03:00:00,47956114.57316278 
 01/01  04:00:00,47233778.91196988 
 01/01  05:00:00,0.0 
 01/01  06:00:00,57720586.46457343 
 01/01  07:00:00,48352634.941635095 
 01/01  08:00:00,44317144.2256296 
 01/01  09:00:00,38578264.2564378 
 01/01  10:00:00,34700229.075462654 
 01/01  11:00:00,28893802.84103876 
 01/01  12:00:00,30723848.028387874 
 01/01  13:00:00,30656105.748008166 
 01/01  14:00:00,31193933.987931497 
 01/01  15:00:00,35439834.63022341 
 01/01  16:00:00,36377272.513957605 
 01/01  17:00:00,38282619.663808696 
 01/01  18:00:00,39822790.58655852 
 01/01  19:00:00,39817823.676344365 
 01/01  20:00:00,49836851.65607449 
 01/01  21:00:00,53758316.97369297 
 01/01  22:00:00,53018466.26878091 
 01/01  23:00:00,58734091.44481735 
 01/01  24:00:00,64198336.90556297 
