Program Version:,EnergyPlus, Version 9.6.0-f420c06a69, YMD=2022.04.15 16:33
Tabular Output Report in Format: ,Comma

Building:,US+MF+CZ5B+elecres+crawlspace+IECC_2021
Environment:,ANNUAL ** Denver Centennial  Golden   Nr CO USA TMY3 WMO#=724666

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,3.03,0.84,1.51
,Net Site Energy,3.03,0.84,1.51
,Total Source Energy,9.61,2.65,4.79
,Net Source Energy,9.61,2.65,4.79


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,3623.35
,Net Conditioned Building Area,2007.43
,Unconditioned Building Area,1615.91


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,Heating,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.54
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating [GJ],Water [m3]
,18,LIVING_UNIT3_FRONTROW_MIDDLEFLOOR,Heating,1506.26056,1506.26056,5.37038E-002,5.37038E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,19,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Cooling,2650.06001,2650.06001,0.22647,0.22647,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 18:00:00,30.34800,5.46981E-003,111.52416,2.00000,2.12376E-002,0.00000
,20,LIVING_UNIT1_BACKROW_MIDDLEFLOOR,Heating,1506.08824,1506.08824,5.36977E-002,5.36977E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,21,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Cooling,1193.00434,1193.00434,0.10195,0.10195,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,28.12800,5.46644E-003,111.52416,2.00000,2.12376E-002,0.00000
,22,LIVING_UNIT2_BACKROW_MIDDLEFLOOR,Heating,878.50635,878.50635,3.13225E-002,3.13225E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,23,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Cooling,1960.76918,1960.76918,0.16756,0.16756,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:50:00,27.85667,5.46603E-003,111.52416,2.00000,2.12376E-002,0.00000
,24,LIVING_UNIT3_BACKROW_MIDDLEFLOOR,Heating,1505.35623,1505.35623,5.36716E-002,5.36716E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,25,LIVING_UNIT3_BACKROW_TOPFLOOR,Cooling,1961.99831,1961.99831,0.16766,0.16766,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 09:50:00,27.85667,5.46603E-003,111.52416,2.00000,2.12376E-002,0.00000
,26,LIVING_UNIT3_BACKROW_TOPFLOOR,Heating,2133.07431,2133.07431,7.60477E-002,7.60477E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,27,LIVING_UNIT3_FRONTROW_TOPFLOOR,Cooling,2040.01028,2040.01028,0.17433,0.17433,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 10:30:00,29.38600,5.46834E-003,111.52416,2.00000,2.12376E-002,0.00000
,28,LIVING_UNIT3_FRONTROW_TOPFLOOR,Heating,2134.05324,2134.05324,7.60826E-002,7.60826E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,29,LIVING_UNIT1_FRONTROW_TOPFLOOR,Cooling,2839.22362,2839.22362,0.24263,0.24263,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 17:40:00,30.84133,5.47057E-003,111.52416,2.00000,2.12376E-002,0.00000
,30,LIVING_UNIT1_FRONTROW_TOPFLOOR,Heating,2133.51983,2133.51983,7.60635E-002,7.60635E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,31,LIVING_UNIT2_BACKROW_TOPFLOOR,Cooling,1387.58581,1387.58581,0.11858,0.11858,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,28.12800,5.46644E-003,111.52416,2.00000,2.12376E-002,0.00000
,32,LIVING_UNIT2_BACKROW_TOPFLOOR,Heating,1503.06201,1503.06201,5.35874E-002,5.35874E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,33,LIVING_UNIT2_FRONTROW_TOPFLOOR,Cooling,1349.34296,1349.34296,0.11531,0.11531,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 19:00:00,28.12800,5.46644E-003,111.52416,2.00000,2.12376E-002,0.00000
,34,LIVING_UNIT2_FRONTROW_TOPFLOOR,Heating,1503.50610,1503.50610,5.36032E-002,5.36032E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000
,35,LIVING_UNIT1_BACKROW_TOPFLOOR,Cooling,2828.65296,2828.65296,0.24173,0.24173,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 18:00:00,30.34800,5.46981E-003,111.52416,2.00000,2.12376E-002,0.00000
,36,LIVING_UNIT1_BACKROW_TOPFLOOR,Heating,2133.59976,2133.59976,7.60664E-002,7.60664E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00,-17.90000,9.55238E-004,111.52416,2.00000,2.12376E-002,0.00000


System Sizing Information

,,System Name,Load Type,Peak Load Kind,User Design Capacity,Calc Des Air Flow Rate [m3/s],User Des Air Flow Rate [m3/s],Design Day Name,Date/Time of Peak
,1,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,2877.36,0.23671,0.23671,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,2,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,Heating,Sensible,2885.87,7.50509E-002,7.50509E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,3,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,1272.47,0.10280,0.10280,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,4,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,Heating,Sensible,2263.09,5.25196E-002,5.25196E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,5,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Cooling,Sensible,2065.21,0.17063,0.17063,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,6,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,Heating,Sensible,2886.65,7.50790E-002,7.50790E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,7,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Cooling,Sensible,2787.31,0.22978,0.22978,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,8,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,Heating,Sensible,2886.57,7.50760E-002,7.50760E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,9,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Cooling,Sensible,1268.84,0.10248,0.10248,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,10,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,Heating,Sensible,2262.99,5.25160E-002,5.25160E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,11,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Cooling,Sensible,1972.73,0.16477,0.16477,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,12,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,Heating,Sensible,2885.78,7.50475E-002,7.50475E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,13,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,2833.79,0.23337,0.23337,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,14,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,Heating,Sensible,2295.05,5.36776E-002,5.36776E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,15,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,1278.76,0.10334,0.10334,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,16,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,Heating,Sensible,1677.34,3.13286E-002,3.13286E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,17,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Cooling,Sensible,2126.34,0.17461,0.17461,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,18,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,Heating,Sensible,2295.78,5.37038E-002,5.37038E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,19,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Cooling,Sensible,2744.02,0.22647,0.22647,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,20,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,Heating,Sensible,2295.61,5.36977E-002,5.36977E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,21,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Cooling,Sensible,1262.73,0.10195,0.10195,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,22,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,Heating,Sensible,1677.17,3.13225E-002,3.13225E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,23,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,Cooling,Sensible,2013.58,0.16756,0.16756,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,24,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,Heating,Sensible,2294.89,5.36716E-002,5.36716E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,25,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,Cooling,Sensible,2940.55,0.24263,0.24263,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,26,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,Heating,Sensible,2913.87,7.60635E-002,7.60635E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,27,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,Cooling,Sensible,1416.76,0.11531,0.11531,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,28,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,Heating,Sensible,2293.04,5.36032E-002,5.36032E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,29,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,Cooling,Sensible,2123.15,0.17433,0.17433,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,30,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,Heating,Sensible,2914.39,7.60826E-002,7.60826E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,31,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,Cooling,Sensible,2919.98,0.24173,0.24173,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,32,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,Heating,Sensible,2913.94,7.60664E-002,7.60664E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,33,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,Cooling,Sensible,1454.44,0.11858,0.11858,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,34,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,Heating,Sensible,2292.60,5.35874E-002,5.35874E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00
,35,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,Cooling,Sensible,2014.79,0.16766,0.16766,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB,7/21 05:00:00
,36,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,Heating,Sensible,2913.43,7.60477E-002,7.60477E-002,DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB,12/21 15:00:00


Component Sizing Information

,,Component Type,Component Name,Input Field Description,Value
,1,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,2,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,3,Fan:OnOff,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,4,Fan:OnOff,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,5,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,6,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.23671
,7,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,8,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,9,Fan:OnOff,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,10,Fan:OnOff,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,11,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,12,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.10280
,13,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,14,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,15,Fan:OnOff,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,16,Fan:OnOff,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,17,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,18,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.17063
,19,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,20,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,21,Fan:OnOff,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,22,Fan:OnOff,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,23,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,24,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.22978
,25,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,26,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,27,Fan:OnOff,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,28,Fan:OnOff,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,29,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,30,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.10248
,31,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,32,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,33,Fan:OnOff,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,34,Fan:OnOff,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,35,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,36,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.16477
,37,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,38,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,39,Fan:OnOff,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,40,Fan:OnOff,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,41,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,42,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.23337
,43,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,44,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,45,Fan:OnOff,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,46,Fan:OnOff,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,47,HeatExchanger:AirToAir:SensibleAndLatent,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,User-Specified Nominal Supply Air Flow Rate [m3/s],2.12376E-002
,48,AirTerminal:SingleDuct:ConstantVolume:NoReheat,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,Design Size Maximum Air Flow Rate [m3/s],0.10334
,49,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Supply Air Flow Rate [m3/s],2.12376E-002
,50,ZoneHVAC:EnergyRecoveryVentilator,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Exhaust Air Flow Rate [m3/s],2.12376E-002
,51,Fan:OnOff,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
,52,Fan:OnOff,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,User-Specified Maximum Flow Rate [m3/s],2.12376E-002
