Date/Time,Heating:NaturalGas [J](Hourly) 
 01/01  01:00:00,100945130.08341594 
 01/01  02:00:00,93770350.85916275 
 01/01  03:00:00,97635490.5796091 
 01/01  04:00:00,93924896.90836582 
 01/01  05:00:00,0.0 
 01/01  06:00:00,109610715.17539231 
 01/01  07:00:00,94658045.72254646 
 01/01  08:00:00,90819720.28853893 
 01/01  09:00:00,83452081.96046028 
 01/01  10:00:00,76688489.62547433 
 01/01  11:00:00,72353399.28733861 
 01/01  12:00:00,80088399.6340976 
 01/01  13:00:00,76885786.79896557 
 01/01  14:00:00,76495197.39382434 
 01/01  15:00:00,81799283.97377008 
 01/01  16:00:00,75726449.84914592 
 01/01  17:00:00,76302160.35357207 
 01/01  18:00:00,84672697.73026182 
 01/01  19:00:00,90614634.07172307 
 01/01  20:00:00,106242413.72392604 
 01/01  21:00:00,110314428.8205519 
 01/01  22:00:00,108940525.2595555 
 01/01  23:00:00,119982667.03288627 
 01/01  24:00:00,127943796.155659 
